Tareas,Duracion,Area,Id
Hacer la cama,5 minutos,Organización,1
Preparar el desayuno,10 minutos,Alimentación,2
Lavar los platos,15 minutos,Tareas del hogar,3
Limpiar el baño,20 minutos,Tareas del hogar,5
Planificar la cena,10 minutos,Alimentación,6
Organizar el armario,30 minutos,Organización,7
Hacer la compra,1 hora,Organización,8
Barrer el suelo,10 minutos,Tareas del hogar,9
Sacar la basura,5 minutos,Tareas del hogar,10
Regar las plantas,10 minutos,Jardinería,11
Limpiar las ventanas,30 minutos,Tareas del hogar,12
Ordenar el escritorio,15 minutos,Organización,13
Hacer la colada,1 hora,Tareas del hogar,14
Limpiar el polvo,20 minutos,Tareas del hogar,15
Pasear al perro,30 minutos,Mascotas,16
Regar el jardín,20 minutos,Jardinería,17
Preparar el almuerzo,30 minutos,Alimentación,18
Organizar los documentos,15 minutos,Organización,19
Limpiar el coche,1 hora,Tareas del hogar,20
Planchar la ropa,30 minutos,Tareas del hogar,21
Sacudir los muebles,15 minutos,Tareas del hogar,22
Ordenar los juguetes,15 minutos,Organización,23
Limpiar el refrigerador,30 minutos,Tareas del hogar,24
Sacar el polvo a los libros,10 minutos,Organización,25
Tomar una ducha,15 minutos,Higiene Personal,26
Vestirse,10 minutos,Higiene Personal,27
Cepillar los dientes,2 minutos,Higiene Personal,28
Peinarse,5 minutos,Higiene Personal,29
Preparar el equipaje/las cosas,Variable,Organización,30
Revisar el correo electrónico,Variable,Productividad,31
Leer las noticias,Variable,Entretenimiento,32
Hacer ejercicio,30 minutos,Salud y Fitness,33
Meditar o practicar mindfulness,10 minutos,Bienestar Mental,34
Planificar las tareas del día,10 minutos,Productividad,35
Repasar el calendario/agenda,5 minutos,Productividad,36
Organizar los materiales/trabajo,10 minutos,Organización,37
Preparar la lonchera/merienda,10 minutos,Alimentación,38
Hacer estiramientos suaves,10 minutos,Salud y Bienestar,39
Preparar el café/té,5 minutos,Alimentación,40
Repasar/aprender vocabulario,10 minutos,Educación,41
Revisar y responder mensajes,Variable,Comunicación,42
Organizar el escritorio,10 minutos,Organización,43
Escuchar música/podcast,Variable,Entretenimiento,44
Revisar las metas y objetivos,5 minutos,Autodesarrollo,45
Estirar el cuerpo,10 minutos,Salud y Bienestar,46
Desayunar,Variable,Alimentación,47
Revisar las redes sociales,Variable,Comunicación,48
Practicar el agradecimiento,5 minutos,Bienestar Mental,49
Preparar y comer el almuerzo,Variable,Alimentación,50
Hacer una pausa para estirarse,5 minutos,Salud y Bienestar,51
Hacer una siesta breve,20 minutos,Descanso,52
Realizar ejercicios de relajación,10 minutos,Bienestar Mental,53
Leer un libro o artículo,Variable,Entretenimiento,54
Hacer una caminata al aire libre,30 minutos,Salud y Bienestar,55
Hacer una llamada telefónica,Variable,Comunicación,56
Organizar y limpiar el área de trabajo,Variable,Organización,57
Realizar tareas pendientes,Variable,Productividad,58
Escuchar música relajante,Variable,Entretenimiento,59
Practicar técnicas de respiración,10 minutos,Salud y Bienestar,60
Hacer una lista de pendientes,10 minutos,Productividad,61
Realizar una actividad creativa,Variable,Arte y Creatividad,62
Ordenar y limpiar el área de comedor,15 minutos,Tareas del hogar,63
Organizar las cuentas y finanzas,Variable,Organización,64
Realizar una tarea de aprendizaje,Variable,Educación,65
Revisar y responder correos electrónicos,Variable,Comunicación,66
Practicar la gratitud,5 minutos,Bienestar Mental,67
