Tareas,Descripcion,Duracion,Id
ahsbab,,,cll6uw5d60001l908lb681wcv
qhqbq,,,cll6uwgmf0001l408zd40pjt3
cc,,,cllcaej0r0001l308ga51tlo4
Saludar a sandri,,,clm4qvrlh0001mf08uiua5zbi
Dormir,,600,clm4qwn7e0008mf08iuzp45pv
Cazar,,,clm4qwn7e0009mf080n5lx48h
hola,,,clm4vrvq9000jl6083jcwfq5e
hola,,,clm4vsl1v000ll608d3zmvpbk
ganar la copa,,,clm4vtpw6000nl608qsr21zmd
Hsjsjsjsj,,,clm82quy10001jn081cay870z
Writing emma,,,clm82r26y0003jn08itq3cv9r
Tp robert,,,clm82r8b40005jn08gvncw99k
Tp cultura familia,,,clm82s56h0007jn08whc9zm6m
Tp robert,,,clm846y0e0001l708jgr0uwry
Tp robert,,,clm847coo0003l708ttpqetlj
ganar la copa,,,clmav97je0001mm0894vq10d0
Eat dick,,,clmbc02dr0002la089hv7ouxh
Ordenar la habitacion,,,clmj6119g0001f850kz4xk8gq
TP redes,,,clmjkdu2h0001me0868q2efcg
Prueba Matemarica,,,clmjkdu3u0003me08j695so5i
Prueba Matemática ,,,clmjkecyp0001m908abncwwln
TIC xp,,,clmjkhgkp0003m908riqoa2pq
TP shulian,,,clmjkqf9v0005me08dw0mvz2g
wake up at 5.30,,,clmjky3br0007me08rwq89mfd
test,,,clmjkyugx0009me08mv5t0vhj
Manejo,,,clml3jzwv0001l808z1dmtvca
Roberto Rios,,,clmorv3rp0001mc0823url1iy
Roverto,,,clmorvib20001l10820ri7wkj
Press Banca,,900,clmory06s0004l108vgg1o948
Press Inclinado,,900,clmory07a0006l108tzyscbw9
Apertura con Cables,,900,clmory07k0008l10845xgy9s7
Tp Filosofia,,,clmp8jq270001jp088l47z2ju
Prueba Mat,,,clmp8khv50003jp08w4hnjjiu
Tp Roberto Rios,,,clmp8khva0005jp082mnc339b
TP Nietzsche,,,clmqxgj9g0001jt08lmami8c3
TP Nietzsche,,,clmqxh5g90001l408iw98osia
Defensa Oral tp judia,,,clmrpne390001mn08oqv8e6zs
Tp roberto rios,,,clmv1ohyh0001l208amec7ui5
Gimnasio con Bruno,,,clmv1qtoj0003l2087f4c6b1k
Gym,,,clmv3r77e0001mt08qtyhfrg9
Leer cosas 🇩🇪,,,clmw08dpg0001md09uuxy8pbw
Shuli,,,clmw08mzq0003md09geblipwj
Sacar plata SEBA,,,clmw08w9c0001mo08pk49pa7s
Texto que debo 🇩🇪,,,clmw09mvp0005md09dpm0uscm
Limpiar rieles,,,clmxhz7ha0001mf08e0y88ckm
Ordenar parlantes,,,clmxhzrh60001ld08g68g3o9b
Filosofia,,,clmxka1di0001mr08haw3cxl5
Hola,,,cln09pyjm0001jw0871ija9ty
Mostrar judia,,,cln0js8f60001l608bt9t8olm
Comprar condones ,Conprar confines del finde del mindo ,,cln20l69w0000lh08vs56fjsb
TP lu,,,cln3dmcy30000ky08uskou9tq
Slides MindFuel,,,cln4je3400000jr080eiu5reh
Informe Quimica,,,cln4ohktd0000l808t3nvsqgl
Monografia Lengua,"-introducción:
la obra, la autora
introducción al eje, la hipótesis

-Cuerpo:
Las situaciones que plantea la novela para construir la figura del hombre",,cln5apbxz0000jr08y4hrpzmm
Leer Manejo,,,cln9628l90000kx088wl96eym
Lograr que funcionen las notificaciones ,,,clnam5lc00000mn08zmdlzmqs
Embebidos,,,clncce37y0000l908kvksgxlk
Reentrega Redes,,,clncces7c0000mg09thsadm4y
Hola,,,clnd68uo90001l9083a3n4gc4
